STATE,YEAR,MURDERS
GEORGIA,2000,651
GEORGIA,2005,516
GEORGIA,2010,527
GEORGIA,2015,565
GEORGIA,2016,646
KANSAS,2000,169
KANSAS,2005,95
KANSAS,2010,100
KANSAS,2015,125
KANSAS,2016,96
NEW JERSEY,2000,289
NEW JERSEY,2005,417
NEW JERSEY,2010,363
NEW JERSEY,2015,353
NEW JERSEY,2016,372
NEW YORK,2000,952
NEW YORK,2005,868
NEW YORK,2010,860
NEW YORK,2015,611
NEW YORK,2016,628
TEXAS,2000,1238
TEXAS,2005,1406
TEXAS,2010,1246
TEXAS,2015,1276
TEXAS,2016,1459
