STATE,MURDERS
ALABAMA,329
ALASKA,27
ARIZONA,359
ARKANSAS,168
CALIFORNIA,"2,079"
COLORADO,134
CONNECTICUT,98
DELAWARE,25
DISTRICT OF COLUMBIA,239
FLORIDA,903
GEORGIA,651
HAWAII,35
IDAHO,16
ILLINOIS,891
INDIANA,352
IOWA,46
KANSAS,169
KENTUCKY,193
LOUISIANA,560
MAINE,15
MARYLAND,430
MASSACHUSETTS,125
MICHIGAN,669
MINNESOTA,151
MISSISSIPPI,255
MISSOURI,347
MONTANA,16
NEBRASKA,63
NEVADA,129
NEW HAMPSHIRE,22
NEW JERSEY,289
NEW MEXICO,135
NEW YORK,952
NORTH CAROLINA,560
NORTH DAKOTA,4
OHIO,418
OKLAHOMA,182
OREGON,70
PENNSYLVANIA,602
PUERTO RICO,693
RHODE ISLAND,45
SOUTH CAROLINA,233
SOUTH DAKOTA,7
TENNESSEE,410
TEXAS,"1,238"
UTAH,43
VERMONT,9
VIRGINIA,401
WASHINGTON,196
WEST VIRGINIA,46
WISCONSIN,169
WYOMING,12
