STATE,MURDERS
ALABAMA,3
ALASKA,52
ARIZONA,336
ARKANSAS,209
CALIFORNIA,"1,930"
COLORADO,202
CONNECTICUT,76
DELAWARE,56
DISTRICT OF COLUMBIA,136
GEORGIA,646
HAWAII,35
IDAHO,47
ILLINOIS,941
INDIANA,348
IOWA,71
KANSAS,96
KENTUCKY,260
LOUISIANA,543
MAINE,20
MARYLAND,430
MASSACHUSETTS,132
MICHIGAN,597
MINNESOTA,99
MISSISSIPPI,154
MISSOURI,535
MONTANA,34
NEBRASKA,41
NEVADA,209
NEW HAMPSHIRE,16
NEW JERSEY,372
NEW MEXICO,99
NEW YORK,628
NORTH CAROLINA,595
NORTH DAKOTA,14
OHIO,627
OKLAHOMA,243
OREGON,100
PENNSYLVANIA,655
RHODE ISLAND,29
SOUTH CAROLINA,363
SOUTH DAKOTA,21
TENNESSEE,486
TEXAS,"1,459"
UTAH,71
VERMONT,14
VIRGINIA,482
WASHINGTON,195
WEST VIRGINIA,76
WISCONSIN,226
WYOMING,19
U.S. VIRGIN ISLANDS,42
