LOCATION,MURDERS
2GEORGIA,565
1ATLANTA,94
4KANSAS,125
3WICHITA,27
6NEW JERSEY,353
5NEWARK,104
8NEW YORK,611
7NYC,352
TEXAS,1276
9HOUSTON,303
