STATE,MURDERS
ALABAMA,3
ALASKA,57
ARIZONA,278
ARKANSAS,164
CALIFORNIA,"1,861"
COLORADO,176
CONNECTICUT,107
DELAWARE,63
DISTRICT OF COLUMBIA,162
GEORGIA,565
HAWAII,19
IDAHO,30
ILLINOIS,497
INDIANA,272
IOWA,72
KANSAS,125
KENTUCKY,209
LOUISIANA,474
MAINE,23
MARYLAND,372
MASSACHUSETTS,126
MICHIGAN,571
MINNESOTA,133
MISSISSIPPI,159
MISSOURI,499
MONTANA,36
NEBRASKA,61
NEVADA,177
NEW HAMPSHIRE,14
NEW JERSEY,353
NEW MEXICO,94
NEW YORK,611
NORTH CAROLINA,506
NORTH DAKOTA,17
OHIO,480
OKLAHOMA,233
OREGON,71
PENNSYLVANIA,651
RHODE ISLAND,27
SOUTH CAROLINA,394
SOUTH DAKOTA,27
TENNESSEE,402
TEXAS,"1,276"
UTAH,54
VERMONT,10
VIRGINIA,383
WASHINGTON,209
WEST VIRGINIA,57
WISCONSIN,238
WYOMING,16
GUAM,6
U.S. VIRGIN ISLANDS,35
